"Model","Disease","term","estimate","std.error","statistic","p.value"
"Genetic","Asthma","Asthma_adjusted_score",0.22588864187466953,0.014166182781917388,15.94562525079149,3.0556646182249476e-57
"Social","Asthma","Asthma_PsRS",0.7632386461300598,0.02985618393681888,25.56383788849947,3.8530116317817886e-144
"Joint","Asthma","Asthma_adjusted_score",0.23288188344483302,0.014372628005712398,16.2031525029573,4.790690178733932e-59
"Joint","Asthma","Asthma_PsRS",0.7722434874294397,0.03003023332462675,25.715534044690546,7.835657978309247e-146
"Interaction","Asthma","Asthma_adjusted_score",0.2256535052709797,0.018121260205997407,12.452417917176504,1.3567171243861352e-35
"Interaction","Asthma","Asthma_PsRS",0.773448401155999,0.03009619192872266,25.699211481232258,1.1928471491904429e-145
"Interaction","Asthma","Asthma_adjusted_score:Asthma_PsRS",-0.01956961523362344,0.029924493644097813,-0.6539664619348796,0.5131334131620114
"Genetic","Afib","Afib_adjusted_score",0.2810932300534318,0.01447452875839258,19.419853643970903,5.243915787913115e-84
"Social","Afib","Afib_PsRS",0.6324987267422033,0.04354264291461419,14.525960860541108,8.297064865186994e-48
"Joint","Afib","Afib_adjusted_score",0.2812138652215874,0.014543220858833316,19.33642265019875,2.6525024908236086e-83
"Joint","Afib","Afib_PsRS",0.632664224737078,0.043891425203926,14.414301239880619,4.2067511917620364e-47
"Interaction","Afib","Afib_adjusted_score",0.3656479578837544,0.03527003638739393,10.367098969436926,3.499888055657013e-25
"Interaction","Afib","Afib_PsRS",0.6218486313526299,0.044056247643922,14.114879605240738,3.075407196364904e-45
"Interaction","Afib","Afib_adjusted_score:Afib_PsRS",0.11312787603225218,0.04295044713359835,2.633916142487768,0.008440633150136451
"Genetic","BreastC","BreastC_adjusted_score",0.29808888012858836,0.014801716617489497,20.138804696231706,3.3738028313396775e-90
"Social","BreastC","BreastC_PsRS",0.7302277170419107,0.04103056043389494,17.797166534402898,7.433598260987764e-71
"Joint","BreastC","BreastC_adjusted_score",0.300294344303705,0.014888658688718012,20.16933496710857,1.8207051260744495e-90
"Joint","BreastC","BreastC_PsRS",0.736240891037085,0.041296076350335754,17.828349715144284,4.258052211765028e-71
"Interaction","BreastC","BreastC_adjusted_score",0.45285879896358466,0.09939263072252184,4.5562613211018395,5.20721471186687e-6
"Interaction","BreastC","BreastC_PsRS",0.7228777009223644,0.042241637092099965,17.112918690775764,1.188898148770709e-65
"Interaction","BreastC","BreastC_adjusted_score:BreastC_PsRS",0.06419236943758316,0.041332886064738644,1.553058001733542,0.12040927842071981
"Genetic","CKD","CKD_adjusted_score",0.3315214097421562,0.01498601951271815,22.122045781456823,1.9393176952716486e-108
"Social","CKD","CKD_PsRS",2.2040169844143427,0.07010563126353958,31.43851563263227,6.025486793969202e-217
"Joint","CKD","CKD_adjusted_score",0.3461404560345324,0.015290435431345856,22.637710847981083,1.8437266560329738e-113
"Joint","CKD","CKD_PsRS",2.2531028164486693,0.07090090426958913,31.778195774226138,1.2954818054811498e-221
"Interaction","CKD","CKD_adjusted_score",-0.047352863759674964,0.08240535216001407,-0.5746333523061165,0.5655392906002188
"Interaction","CKD","CKD_PsRS",2.278075657824438,0.07118716854110423,32.00121179857087,1.0489013705260099e-224
"Interaction","CKD","CKD_adjusted_score:CKD_PsRS",-0.3287113487740928,0.06776326463887183,-4.850878282294715,1.2291596340323233e-6
"Genetic","CHD","CHD_adjusted_score",0.3758958064977582,0.010177703214985886,36.93326466272671,1.3521590972367293e-298
"Social","CHD","CHD_PsRS",0.8320832252590709,0.05300400897742272,15.698496044204887,1.5487024444282347e-55
"Joint","CHD","CHD_adjusted_score",0.3712894714507729,0.01019261244304427,36.42731179327352,1.5734841466995633e-290
"Joint","CHD","CHD_PsRS",0.7716933296078821,0.05359734373189173,14.397977136107691,5.328024022992356e-47
"Interaction","CHD","CHD_adjusted_score",0.33104455477253664,0.09359835684707658,3.536862888665939,4.049098146887287e-4
"Interaction","CHD","CHD_PsRS",0.7747699874252579,0.05406468434165473,14.330426541089189,1.4125038720667542e-46
"Interaction","CHD","CHD_adjusted_score:CHD_PsRS",-0.023208544448267476,0.05365930377401802,-0.4325166898550986,0.665365924683277
"Genetic","ProstateC","ProstateC_adjusted_score",0.5430534241751677,0.023851114900882462,22.76847126148704,9.41737158486687e-115
"Social","ProstateC","ProstateC_PsRS",1.0008692519821316,0.030496530299624604,32.81911883577299,3.1426691929639286e-236
"Joint","ProstateC","ProstateC_adjusted_score",0.5340952366576565,0.025573416409598985,20.88478238899609,7.363935494163113e-97
"Joint","ProstateC","ProstateC_PsRS",0.9923017933095872,0.03122178707814295,31.782350921362077,1.135076984362729e-221
"Interaction","ProstateC","ProstateC_adjusted_score",0.5447842471688044,0.030721451176460527,17.73302452542445,2.3314768188630603e-70
"Interaction","ProstateC","ProstateC_PsRS",0.9879425730781689,0.03193665313280647,30.93444291015326,4.113550783577299e-210
"Interaction","ProstateC","ProstateC_adjusted_score:ProstateC_PsRS",0.020592156178617423,0.03259251063041096,0.6318063806782527,0.5275134037269962
"Genetic","t2d","t2d_adjusted_score",0.6151419334213772,0.010990666221481584,55.96948547296105,0
"Social","t2d","t2d_PsRS",1.268706506016463,0.02019855393890474,62.811749289278985,0
"Joint","t2d","t2d_adjusted_score",0.6164195302351199,0.011503037801790593,53.587542774063245,0
"Joint","t2d","t2d_PsRS",1.2698619921487768,0.020905051795687093,60.744264331876046,0
"Interaction","t2d","t2d_adjusted_score",0.5235795986159195,0.018129849149622974,28.87942388791513,2.164942524583732e-183
"Interaction","t2d","t2d_PsRS",1.2889837099174764,0.02117071313466425,60.88522865141164,0
"Interaction","t2d","t2d_adjusted_score:t2d_PsRS",-0.1401653462582458,0.02147042807662425,-6.528297701285689,6.65213798184942e-11
"Genetic","t1d","t1d_adjusted_score",0.26058906256872316,0.032982141345126365,7.900914008035725,2.768656192637537e-15
"Social","t1d","t1d_PsRS",1.1036394952861623,0.09102551619017686,12.12450685783931,7.833028389211776e-34
"Joint","t1d","t1d_adjusted_score",0.2589593044582424,0.03298465542604492,7.850902218422638,4.130549189913378e-15
"Joint","t1d","t1d_PsRS",1.1050329432379662,0.09145123272928903,12.08330287366436,1.2941478468782678e-33
"Interaction","t1d","t1d_adjusted_score",-0.8603062951995876,0.3239745592518491,-2.6554748532918246,0.007919683801617219
"Interaction","t1d","t1d_PsRS",1.1811490180597726,0.09449534721642444,12.499546833290799,7.507803474483761e-36
"Interaction","t1d","t1d_adjusted_score:t1d_PsRS",-0.32874494716025093,0.09483939278459114,-3.466333318971473,5.27608755681042e-4
